OBJECTID,ISO,flood.freq.mean,drought.freq.mean
1853,DZA,7,0
1854,DZA,1,8.590909091
1855,DZA,7,0
1856,DZA,4,9.375
1857,DZA,1,10
1858,DZA,1,10
1859,DZA,1.3,9
1860,DZA,4,9
1861,DZA,7,8
1862,DZA,1,10
1863,DZA,1,10
1864,DZA,0.77,0
1865,DZA,1,10
1866,DZA,7,0
1867,DZA,1,10
1868,DZA,7,8
1869,DZA,1,10
1870,DZA,1,10
1871,DZA,7,0
1872,DZA,7,8
1873,DZA,6.58,7.04
1874,DZA,1,10
1875,DZA,7,0
1876,DZA,4,9
1877,DZA,4,9
1878,DZA,4,9
1879,DZA,2.363636364,9
1880,DZA,1,10
1881,DZA,7,0
1882,DZA,1,9
1883,DZA,1,9
1884,DZA,4,9
1885,DZA,1,10
1886,DZA,4,9
1887,DZA,1,9
1888,DZA,7,2
1889,DZA,3.294117647,6.75
1890,DZA,1,10
1891,DZA,4,7.59375
1892,DZA,4,9
1893,DZA,3.884615385,8
1894,DZA,1,9
1895,DZA,1,10
1896,DZA,7,0
1897,DZA,1,9
1898,DZA,1,10
1899,DZA,7,0
1900,DZA,1,10
1901,DZA,1,9
1902,DZA,7,0
1903,DZA,1,10
1904,DZA,3.0625,0
1905,DZA,1,10
1906,DZA,4,9
1907,DZA,4,9
1908,DZA,1,10
1909,DZA,1,10
1910,DZA,1,10
1911,DZA,7,0
1912,DZA,2.685714286,5.347826087
1913,DZA,6.533333333,7.466666667
1914,DZA,1,10
1915,DZA,2.114583333,1.892473118
1916,DZA,7,0
1917,DZA,1,10
1918,DZA,6.125,0
1919,DZA,1,10
1920,DZA,1,10
1921,DZA,1,9
1922,DZA,1.782608696,7.714285714
1923,DZA,1,10
1924,DZA,1,10
1925,DZA,1.342465753,0.210526316
1926,DZA,1,5.384615385
1927,DZA,1,10
1928,DZA,1,10
1929,DZA,4,9
1930,DZA,3.075268817,1.534090909
1931,DZA,2.916666667,0
1932,DZA,1,10
1933,DZA,4,5.4
1934,DZA,1,8.333333333
1935,DZA,1,8
1936,DZA,0.974358974,3.512195122
1937,DZA,1,10
1938,DZA,1,10
